"","IdLandkreis","Meldedatum","gemeldete Fallzahl des Tages","Laufender Tagesdurchschnitt der vergangenen 7 Tage"
"122",5382,"2022-05-20",135,233.142857142857
"123",5512,"2022-05-20",48,56.5714285714286
"124",5513,"2022-05-20",75,104
"125",5515,"2022-05-20",169,189.428571428571
"126",5554,"2022-05-20",168,294.428571428571
"127",5558,"2022-05-20",170,151.285714285714
"128",5562,"2022-05-20",227,297.428571428571
"129",5566,"2022-05-20",247,283.714285714286
"130",5570,"2022-05-20",160,254.714285714286
"131",5711,"2022-05-20",132,185.285714285714
"132",5754,"2022-05-20",126,178.857142857143
"133",5758,"2022-05-20",116,131.857142857143
"134",5762,"2022-05-20",36,70.1428571428571
"135",5766,"2022-05-20",126,173.714285714286
"136",5770,"2022-05-20",170,234.571428571429
"137",5774,"2022-05-20",266,211.142857142857
"138",5911,"2022-05-20",142,237
"139",5913,"2022-05-20",222,364
"140",5914,"2022-05-20",78,112
"141",5915,"2022-05-20",80,114.857142857143
"142",5916,"2022-05-20",71,100.142857142857
"143",5954,"2022-05-20",30,143.285714285714
"144",5958,"2022-05-20",165,236.285714285714
"145",5962,"2022-05-20",187,370.714285714286
"146",5966,"2022-05-20",27,74.2857142857143
"147",5970,"2022-05-20",144,236.714285714286
"148",5974,"2022-05-20",165,155.285714285714
"149",5978,"2022-05-20",306,399.428571428571
"150",6411,"2022-05-20",73,109.571428571429
"151",6412,"2022-05-20",266,429.857142857143
"152",6413,"2022-05-20",54,58.7142857142857
"153",6414,"2022-05-20",161,211.142857142857
"154",6431,"2022-05-20",183,272.428571428571
"155",6432,"2022-05-20",159,223.714285714286
"156",6433,"2022-05-20",67,128.571428571429
"157",6434,"2022-05-20",120,203.285714285714
"158",6435,"2022-05-20",136,262
"159",6436,"2022-05-20",46,135.142857142857
"160",6437,"2022-05-20",42,76.8571428571429
"161",6438,"2022-05-20",114,243
"162",6439,"2022-05-20",137,186.857142857143
"163",6440,"2022-05-20",87,182.714285714286
"164",6531,"2022-05-20",131,161.571428571429
"165",6532,"2022-05-20",218,149.857142857143
"166",6533,"2022-05-20",66,97.2857142857143
"167",6534,"2022-05-20",20,151.571428571429
"168",6535,"2022-05-20",64,94.5714285714286
"169",6611,"2022-05-20",259,226.857142857143
"170",6631,"2022-05-20",73,146.142857142857
"171",6633,"2022-05-20",254,322.714285714286
"172",6634,"2022-05-20",89,143.714285714286
"173",6635,"2022-05-20",85,176.428571428571
"174",6636,"2022-05-20",59,66.1428571428571
"175",7111,"2022-05-20",6,42
"176",7131,"2022-05-20",52,66.4285714285714
"177",7132,"2022-05-20",41,89
"178",7133,"2022-05-20",65,95.5714285714286
"179",7134,"2022-05-20",11,41.4285714285714
"180",7135,"2022-05-20",35,42.7142857142857
"181",7137,"2022-05-20",13,84.1428571428571
"182",7138,"2022-05-20",64,73.7142857142857
"183",7140,"2022-05-20",32,79.8571428571429
"184",7141,"2022-05-20",42,93
"185",7211,"2022-05-20",51,55.4285714285714
"186",7231,"2022-05-20",12,44
"187",7232,"2022-05-20",25,44.2857142857143
"188",7233,"2022-05-20",58,65.2857142857143
"189",7235,"2022-05-20",66,80.8571428571429
"190",7312,"2022-05-20",28,69.5714285714286
"191",7313,"2022-05-20",18,30.4285714285714
"192",7314,"2022-05-20",23,49
"193",7315,"2022-05-20",186,152.714285714286
"194",7316,"2022-05-20",9,28.7142857142857
"195",7317,"2022-05-20",29,32
