"","Meldedatum","gemeldete Fallzahl des Tages","Laufender Tagesdurchschnitt der vergangenen 7 Tage"
"159","2021-12-23",34986,33309.8571428571
"160","2021-12-22",40935,35067.2857142857
"161","2021-12-21",48261,36709.5714285714
"162","2021-12-20",26963,38419.2857142857
"163","2021-12-19",12233,39083.1428571429
"164","2021-12-18",28524,39557.8571428571
"165","2021-12-17",41267,40435.7142857143
"166","2021-12-16",47288,41848.1428571429
"167","2021-12-15",52431,43336.4285714286
"168","2021-12-14",60229,45448.4285714286
"169","2021-12-13",31610,46748.7142857143
"170","2021-12-12",15556,48308.7142857143
"171","2021-12-11",34669,49382.5714285714
"172","2021-12-10",51154,50502.7142857143
"173","2021-12-09",57706,52129.5714285714
"174","2021-12-08",67215,53608.5714285714
"175","2021-12-07",69331,54579.1428571429
"176","2021-12-06",42530,55188.4285714286
"177","2021-12-05",23073,55456.2857142857
"178","2021-12-04",42510,55806.8571428571
"179","2021-12-03",62542,56153.8571428571
"180","2021-12-02",68059,56371.5714285714
"181","2021-12-01",74009,56919.5714285714
"182","2021-11-30",73596,57165.7142857143
"183","2021-11-29",44405,57299.7142857143
"184","2021-11-28",25527,57618.1428571429
"185","2021-11-27",44939,57512
"186","2021-11-26",64066,57140.7142857143
"187","2021-11-25",71895,56923
"188","2021-11-24",75732,55400
"189","2021-11-23",74534,53608.1428571429
"190","2021-11-22",46634,51959
"191","2021-11-21",24784,50238.4285714286
"192","2021-11-20",42340,49418.5714285714
"193","2021-11-19",62542,48224.4285714286
"194","2021-11-18",61234,45873.2857142857
"195","2021-11-17",63189,44232.5714285714
"196","2021-11-16",62990,42470.5714285714
"197","2021-11-15",34590,40213.7142857143
"198","2021-11-14",19045,38741.5714285714
"199","2021-11-13",33981,37716.7142857143
"200","2021-11-12",46084,36257.7142857143
"201","2021-11-11",49749,34495.5714285714
"202","2021-11-10",50855,32597.8571428571
"203","2021-11-09",47192,30496.2857142857
"204","2021-11-08",24285,27239.8571428571
"205","2021-11-07",11871,25411.2857142857
"206","2021-11-06",23768,24780.7142857143
"207","2021-11-05",33749,23825.5714285714
"208","2021-11-04",36465,22229.5714285714
"209","2021-11-03",36144,20500.1428571429
"210","2021-11-02",24397,19237.1428571429
"211","2021-11-01",11485,19520
"212","2021-10-31",7457,19574.8571428571
"213","2021-10-30",17082,19249.2857142857
"214","2021-10-29",22577,18708.1428571429
"215","2021-10-28",24359,17864
"216","2021-10-27",27303,16855.1428571429
"217","2021-10-26",26377,15523
"218","2021-10-25",11869,14493.2857142857
"219","2021-10-24",5178,13960.8571428571
"220","2021-10-23",13294,13707.8571428571
"221","2021-10-22",16668,13021.7142857143
"222","2021-10-21",17297,12233.5714285714
"223","2021-10-20",17978,11382.4285714286
"224","2021-10-19",19169,10536.7142857143
"225","2021-10-18",8142,9604.71428571429
"226","2021-10-17",3407,9335.85714285714
"227","2021-10-16",8491,9225.71428571429
"228","2021-10-15",11151,9015.28571428571
"229","2021-10-14",11339,8739.42857142857
"230","2021-10-13",12058,8568.14285714286
"231","2021-10-12",12645,8432.85714285714
"232","2021-10-11",6260,8371.42857142857
"233","2021-10-10",2636,8287.28571428571
"234","2021-10-09",7018,8289
"235","2021-10-08",9220,8165.57142857143
"236","2021-10-07",10140,8046.71428571429
"237","2021-10-06",11111,7955
"238","2021-10-05",12215,7993.42857142857
"239","2021-10-04",5671,8055.42857142857
"240","2021-10-03",2648,8069.85714285714
"241","2021-10-02",6154,8069.42857142857
"242","2021-10-01",8388,8097.42857142857
"243","2021-09-30",9498,8100.14285714286
"244","2021-09-29",11380,8040.85714285714
"245","2021-09-28",12649,7909.14285714286
"246","2021-09-27",5772,7710.71428571429
"247","2021-09-26",2645,7658.85714285714
