"","date","name","code","Daily new hospital admissions","Daily people in MV beds","Daily people in hospital with coronavirus","Seven-day average hospital admissions","Seven-day average MV beds","Seven-day average hospital cases"
"47","2021-12-03","England","E92000001",624,783,5851,660.714285714286,787,5936.28571428571
"48","2021-12-02","England","E92000001",719,774,5915,660.142857142857,788.857142857143,5956.42857142857
"49","2021-12-01","England","E92000001",698,773,5829,650.285714285714,791.142857142857,5978.28571428571
"50","2021-11-30","England","E92000001",699,806,6123,658,792.571428571429,6011.57142857143
"51","2021-11-29","England","E92000001",669,793,6094,652.285714285714,788.857142857143,6030.71428571429
"52","2021-11-28","England","E92000001",607,793,5890,642.714285714286,787.714285714286,6077.85714285714
"53","2021-11-27","England","E92000001",609,787,5852,648.571428571429,785.285714285714,6139.57142857143
"54","2021-11-26","England","E92000001",620,796,5992,648.857142857143,782,6188
"55","2021-11-25","England","E92000001",650,790,6068,651.285714285714,778.142857142857,6233.42857142857
"56","2021-11-24","England","E92000001",752,783,6062,658,776.571428571429,6271.71428571429
"57","2021-11-23","England","E92000001",659,780,6257,654.428571428571,777.857142857143,6321.71428571429
"58","2021-11-22","England","E92000001",602,785,6424,662.142857142857,780.142857142857,6374
"59","2021-11-21","England","E92000001",648,776,6322,675.428571428571,785.285714285714,6436.85714285714
